stage,config,axis,prer,r,postr,label,model,device,dim,weights,MRR,MRR_prompted,Hit@1,Hit@5,File@5,accuracy,judge_similarity,judge_correctness,judge_completeness,judge_faithfulness,judge_mean,n_chunks,parse_time_sec,rerank_time_sec,llm_calls,elapsed_sec,fixed_pipeline
2_parser_char,chonkie_fast_300,,,,,Chonkie Fast 300,,,,,0.6830555555555556,,0.61,0.7966666666666666,0.92,,,,,,,8773,3.1366240978240967,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_recursive_800_150,,,,,LC Recursive 800/150,,,,,0.6317777777777779,,0.5466666666666666,0.7566666666666667,0.8933333333333333,,,,,,,2037,4.732081890106201,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_sentence_1500,,,,,Chonkie Sentence 1500,,,,,0.6430555555555557,,0.5633333333333334,0.77,0.8933333333333333,,,,,,,1323,3.1121537685394287,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_recursive_300_50,,,,,LC Recursive 300/50,,,,,0.6816111111111114,,0.59,0.8133333333333334,0.9166666666666666,,,,,,,4556,4.574740886688232,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_character_300_50,,,,,LC Character 300/50,,,,,0.677888888888889,,0.5866666666666667,0.81,0.9166666666666666,,,,,,,4559,3.3913557529449463,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_recursive_800,,,,,Chonkie Recursive 800,,,,,0.6415555555555558,,0.5533333333333333,0.7633333333333333,0.8966666666666666,,,,,,,1973,3.431981086730957,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_character_1000_200,,,,,LC Character 1000/200,,,,,0.6331666666666668,,0.5433333333333333,0.77,0.8966666666666666,,,,,,,1687,3.0128791332244873,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_sentence_800,,,,,Chonkie Sentence 800,,,,,0.6382222222222224,,0.5566666666666666,0.76,0.8966666666666666,,,,,,,2034,3.181105852127075,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_recursive_500_100,,,,,LC Recursive 500/100,,,,,0.6572777777777778,,0.5733333333333334,0.7766666666666666,0.8966666666666666,,,,,,,2981,4.953158855438232,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,llamaindex_sentence_1000_200,,,,,LlamaIndex Sentence 1000/200,,,,,0.6409444444444445,,0.56,0.77,0.9033333333333333,,,,,,,1626,3.2732601165771484,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_character_800_150,,,,,LC Character 800/150,,,,,0.6318888888888889,,0.5466666666666666,0.76,0.8933333333333333,,,,,,,2037,3.0806190967559814,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_character_1500_200,,,,,LC Character 1500/200,,,,,0.6432222222222224,,0.5633333333333334,0.77,0.8933333333333333,,,,,,,1322,3.748443126678467,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,llamaindex_sentence_1500_200,,,,,LlamaIndex Sentence 1500/200,,,,,0.6381111111111112,,0.5566666666666666,0.7666666666666667,0.8966666666666666,,,,,,,1277,3.1803348064422607,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_fast_500,,,,,Chonkie Fast 500,,,,,0.6774444444444445,,0.5933333333333334,0.7966666666666666,0.92,,,,,,,5186,4.590341806411743,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_recursive_300,,,,,Chonkie Recursive 300,,,,,0.6885000000000001,,0.6133333333333333,0.8,0.9166666666666666,,,,,,,4310,3.455972671508789,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_sentence_300,,,,,Chonkie Sentence 300,,,,,0.688111111111111,,0.6033333333333334,0.8033333333333333,0.9166666666666666,,,,,,,4542,3.7220170497894287,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_recursive_1000_200,,,,,LC Recursive 1000/200,,,,,0.6334444444444446,,0.5433333333333333,0.77,0.8966666666666666,,,,,,,1687,4.532646894454956,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_recursive_1500_200,,,,,LC Recursive 1500/200,,,,,0.6432222222222224,,0.5633333333333334,0.77,0.8933333333333333,,,,,,,1322,5.523900032043457,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,llamaindex_sentence_800_150,,,,,LlamaIndex Sentence 800/150,,,,,0.6563333333333334,,0.58,0.7733333333333333,0.9,,,,,,,1946,3.3383288383483887,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,lc_token_256_50,,,,,LC Token 256/50,,,,,0.6797777777777779,,0.6033333333333334,0.7866666666666666,0.92,,,,,,,5091,4.910192966461182,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
2_parser_char,chonkie_sentence_1000,,,,,Chonkie Sentence 1000,,,,,0.6325555555555558,,0.5433333333333333,0.77,0.9,,,,,,,1693,3.121152877807617,,,,"loader=pymupdf, embed=gemma-300m, dense top-5"
